Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
Praziquantel,Praziquantel,HMDB0015191,4891,199024,C07367,NA,O=C(C1CCCCC1)N1CC2N(CCC3=CC=CC=C23)C(=O)C1,1
Oseltamivir,Oseltamivir,HMDB0014343,65028,7798,C08092,NA,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,1
Triclocarban,Triclocarban,HMDB0240702,7547,48347,NA,NA,ClC1=CC=C(NC(=O)NC2=CC(Cl)=C(Cl)C=C2)C=C1,1
Velutin,Velutin,NA,5464381,NA,NA,NA,COc1cc(O)c2c(=O)cc(-c3ccc(O)c(OC)c3)oc2c1,1
Ranitidine,Ranitidine,HMDB0001930,3001055,8776,D00673,2249,CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C/[N+]([O-])=O,1
Safranin,NA,NA,NA,NA,NA,NA,NA,0
Progesterone,Progesterone,HMDB0001830,5994,17026,C00410,402,[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
Flusilazole,Flusilazole,HMDB0039815,73675,81922,C18733,NA,C[Si](CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,1
Oxycodone,Oxycodone,HMDB0014640,5284603,7852,C08018,NA,[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1(O)CCC2=O,1
Petunidin,Petunidin,HMDB0003173,441774,75318,C08727,3447,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O,1
Isorhamnetin,Isorhamnetin,HMDB0002655,5281654,6052,C10084,3445,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,1
Azinphos-methyl,Azinphos-methyl,HMDB0248807,2268,2953,C11018,NA,COP(=S)(OC)SCN1N=NC2=CC=CC=C2C1=O,1
Drofenine,NA,NA,NA,NA,NA,NA,NA,0
Myricetin,Myricetin,HMDB0002755,5281672,18152,C10107,3448,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1,1
Fenofibric acid,Fenofibric acid,HMDB0252207,64929,83469,NA,NA,CC(C)(OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1)C(O)=O,1
Zearalenone,"(S,E)-Zearalenone",HMDB0031752,5375083,175078,C09981,NA,[H]\C1=C([H])/C2=CC(O)=CC(O)=C2C(=O)OC(C)CCCC(=O)CCC1,1
Norfloxacin,Norfloxacin,HMDB0015192,4539,100246,C06687,NA,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1,1
N4-Acetylsulfamethazine,N(4)-Acetylsulfamethazine,HMDB0244280,66855,83457,NA,NA,CC(O)=NC1=CC=C(C=C1)S(=O)(=O)NC1=NC(C)=CC(C)=N1,1
Mycophenolic acid,Mycophenolic acid,HMDB0015159,446541,168396,C20380,NA,COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C,1
Iprovalicarb,Iprovalicarb,HMDB0253572,6914821,83593,NA,NA,CC(C)OC(=O)NC(C(C)C)C(=O)NC(C)C1=CC=C(C)C=C1,1
Dimethenamide ESA,Dimethenamide ESA,HMDB0341156,NA,NA,NA,NA,COCC(C)N(C(=O)CS(O)(=O)=O)C1=C(C)SC=C1C,1
Chloramphenicol,Chloramphenicol,HMDB0014589,5959,17698,C00918,NA,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,1
Indole-3-acetyl-L-phenylalanine,NA,NA,NA,NA,NA,NA,NA,0
Cytidine 5'-monophosphate,Cytidine monophosphate,HMDB0000095,6131,17361,C00055,5143,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
Dimefline,NA,NA,NA,NA,NA,NA,NA,0
Citalopram,Citalopram,HMDB0005038,2771,77397,C07572,1781,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,1
Quinine,Quinine,HMDB0014611,3034034,15854,C06526,NA,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,1
Norpropoxyphene,Norpropoxyphene,HMDB0041962,18804,NA,NA,NA,CCC(=O)OC(CC1=CC=CC=C1)(C(C)CNC)C1=CC=CC=C1,1
Tris(1-chloro-2-propyl)phosphate,NA,NA,NA,NA,NA,NA,NA,0
Clozapine,Clozapine,HMDB0014507,135398737,3766,C06924,NA,CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12,1
Acepromazine,Acepromazine,HMDB0015552,6077,44932,NA,NA,CN(C)CCCN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O,1
Fluazifop,Fluazifop,HMDB0252322,91701,83598,C18527,NA,CC(OC1=CC=C(OC2=NC=C(C=C2)C(F)(F)F)C=C1)C(O)=O,1
Boldine,NA,NA,NA,NA,NA,NA,NA,0
Tetrameprozine,NA,NA,NA,NA,NA,NA,NA,0
Sulcotrione,Sulcotrione,HMDB0258570,NA,83465,NA,NA,CS(=O)(=O)C1=CC(Cl)=C(C=C1)C(=O)C1C(=O)CCCC1=O,1
"3',5'-Cyclic AMP",Cyclic AMP,HMDB0000058,6076,17489,C00575,5120,[H][C@@]12COP(O)(=O)O[C@@]1([H])[C@@H](O)[C@@H](O2)N1C=NC2=C1N=CN=C2N,1
Epoxiconazole,NA,NA,NA,NA,NA,NA,NA,0
"2',3'-di-O-acetyl-5'-deoxy-5-fluorocytidine",NA,NA,NA,NA,NA,NA,NA,0
Paroxetine,Paroxetine,HMDB0014853,43815,7936,C07415,NA,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,1
Furosemide,Furosemide,HMDB0001933,3440,47426,C07017,2981,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,1
Ranitidine-S-oxide,Ranitidine S-oxide,HMDB0257111,NA,83497,NA,NA,CNC(NCCS(=O)CC1=CC=C(CN(C)C)O1)=CN(=O)=O,1
Ciprofloxacin,Ciprofloxacin,HMDB0014677,2764,100241,C05349,NA,OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,1
2'-Deoxyinosine 5'-monophosphate,dIMP,HMDB0006555,91531,28806,C06196,NA,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=NC2=C1NC=NC2=O,1
Spectinomycin,Spectinomycin,HMDB0015055,15541,9215,C02078,NA,[H][C@@]12O[C@H](C)CC(=O)[C@]1(O)O[C@]1([H])[C@@H](NC)[C@@H](O)[C@@H](NC)[C@H](O)[C@@]1([H])O2,1
Flurtamone,Flurtamone,HMDB0252414,91755,138738,NA,NA,CNC1=C(C(=O)C(O1)C1=CC=CC=C1)C1=CC(=CC=C1)C(F)(F)F,1
beta-Nicotinamide mononucleotide,Nicotinamide ribotide,HMDB0000229,14181,14648,C00455,5238,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
Strychnine,Strychnine,NA,8753,NA,NA,NA,NA,1
Nicotinic acid mono nucleotide,NA,NA,NA,NA,NA,NA,NA,0
Berberine,Berberine,HMDB0003409,2353,16118,C00757,3471,COC1=CC=C2C=C3C4=CC5=C(OCO5)C=C4CC[N+]3=CC2=C1OC,1
Senecionine,NA,NA,NA,NA,NA,NA,NA,0
"3,5-Dibromo-L-tyrosine","gamma-Taraxastane-3,20-diol",HMDB0035930,14313597,NA,NA,NA,CC1C2C3CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)CCC1(C)O,1
Tenoxicam,Tenoxicam,HMDB0014612,5312154,553047,NA,NA,CN1\C(=C(/O)NC2=CC=CC=N2)C(=O)C2=C(C=CS2)S1(=O)=O,1
5-Aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate,AICAR,HMDB0001517,65110,18406,C04677,6294,NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,1
Mesotrione,Mesotrione,HMDB0254481,175967,38321,NA,NA,[H]C1=C([H])C(=C([H])C(=C1C(=O)C1([H])C(=O)C([H])([H])C([H])([H])C([H])([H])C1=O)[N+]([O-])=O)S(=O)(=O)C([H])([H])[H],1
Methylergonovine,Methylergonovine,HMDB0014497,8226,775307,NA,NA,[H][C@@]12CC3=CNC4=CC=CC(=C34)C1=C[C@H](CN2C)C(=O)N[C@@H](CC)CO,1
"beta-D-Fructose 1,6-bisphosphate","beta-D-Fructose 1,6-bisphosphate",NA,7752,28013,C05378,NA,NA,1
Esculin,Aesculin,HMDB0030820,5281417,4853,C09264,NA,OC[C@H]1O[C@@H](OC2=C(O)C=C3OC(=O)C=CC3=C2)[C@H](O)[C@@H](O)[C@@H]1O,1
Pentamidine,Pentamidine,HMDB0014876,4735,45081,C07420,NA,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,1
Poldine,NA,NA,NA,NA,NA,NA,NA,0
Propiconazole,Propiconazole,HMDB0256825,NA,8489,C11121,NA,CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1,1
Naltrexone,Naltrexone,HMDB0014842,5360515,7465,C07253,NA,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,1
Boscalid,Boscalid,HMDB0249353,NA,81822,C18547,NA,ClC1=CC=C(C=C1)C1=C(NC(=O)C2=C(Cl)N=CC=C2)C=CC=C1,1
Lactose,Alpha-Lactose,HMDB0000186,84571,36219,C00243,267,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,1
Hydroxybutorphanol,NA,NA,NA,NA,NA,NA,NA,0
Clotrimazole,Clotrimazole,HMDB0001922,2812,3764,C06922,1897,ClC1=CC=CC=C1C(N1C=CN=C1)(C1=CC=CC=C1)C1=CC=CC=C1,1
Testosterone_Propionate,NA,NA,NA,NA,NA,NA,NA,0
"Guanosine-3',5'-cyclic monophosphate",NA,NA,NA,NA,NA,NA,NA,0
AMP,Adenosine monophosphate,HMDB0000045,6083,16027,C00020,5111,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1
Adenosine 3'-monophosphate,3'-AMP,HMDB0003540,41211,28931,C01367,NA,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,1
Inosine-5'-monophosphate,Inosinic acid,HMDB0000175,8582,17202,C00130,5196,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,1
Enalaprilat,Enalaprilat,HMDB0041886,6917719,4786,C11720,NA,[H][C@@](C)(N[C@@]([H])(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCC[C@@]1([H])C(O)=O,1
Ampicillin,Ampicillin,HMDB0014559,6249,28971,C06574,NA,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O,1
Strychnine_N_Oxide,NA,NA,NA,NA,NA,NA,NA,0
4-methylumbelliferyl glucuronide,4-Methylumbelliferone glucuronide,HMDB0240464,91553,1904,C11584,NA,[H][C@@]1(OC2=CC3=C(C=C2)C(C)=CC(=O)O3)O[C@]([H])(C(O)=O)[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])O,1
N4-Acetylsulfadimethoxine,N4-Acetylsulfadimethoxine,NA,473359,NA,NA,NA,NA,1
Ajmalicine,Ajmalicine,HMDB0248072,251561,NA,C09024,NA,COC(=O)C1=COC(C)C2CN3CCC4=C(NC5=CC=CC=C45)C3CC12,1
Tebufenozide,Tebufenozide,HMDB0258764,91773,38452,C18526,NA,CCC1=CC=C(C=C1)C(=O)NN(C(=O)C1=CC(C)=CC(C)=C1)C(C)(C)C,1
Chelidonine,Chelidonine,HMDB0249900,10147,NA,NA,NA,CN1CC2=C3OCOC3=CC=C2C2C(O)CC3=CC4=C(OCO4)C=C3C12,1
Dihydrozeatin riboside,Dihydrozeatin riboside,NA,47205743,80498,C16447,NA,NA,1
Chlorogenic Acid,Chlorogenic acid,HMDB0003164,1794427,16112,C00852,3498,O[C@@H]1C[C@](O)(C[C@@H](OC(=O)\C=C\C2=CC(O)=C(O)C=C2)[C@@H]1O)C(O)=O,1
Xanthohumol,Xanthohumol,HMDB0037479,639665,66331,C16417,NA,COC1=C(C(=O)\C=C\C2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1,1
Hycanthone,Hycanthone,HMDB0253234,3634,52768,NA,NA,CCN(CC)CCNC1=C2C(=O)C3=CC=CC=C3SC2=C(CO)C=C1,1
Laudanosine,(S)-Laudanosine,HMDB0030213,15548,444892,NA,NA,COC1=C(OC)C=C(CC2N(C)CCC3=CC(OC)=C(OC)C=C23)C=C1,1
Oxybutynine,Oxybutynin,HMDB0015195,4634,7856,C07360,NA,CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1,1
Chlorfenvinphos,Chlorfenvinphos,HMDB0250096,NA,38598,NA,NA,CCOP(=O)(OCC)OC(=CCl)C1=C(Cl)C=C(Cl)C=C1,1
Cilastatin,Cilastatin,HMDB0015535,6435415,3697,C01675,NA,N[C@@H](CSCCCC\C=C(/NC(=O)[C@H]1CC1(C)C)C(=O)O)C(=O)O,1
Prednisone,Prednisone,HMDB0014773,5865,8382,C07370,NA,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,1
Capecitabine,Capecitabine,HMDB0015233,60953,31348,C12650,NA,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,1
Enrofloxacin,Enrofloxacin,HMDB0029861,71188,35720,NA,NA,CCN1CCN(CC1)C1=CC2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O,1
Rosmarinic acid,Rosmarinic acid,HMDB0003572,5281792,50371,C01850,6960,OC(=O)[C@@H](CC1=CC(O)=C(O)C=C1)OC(=O)\C=C\C1=CC(O)=C(O)C=C1,1
Fenofibrate,Fenofibrate,HMDB0015173,3339,5001,C07586,NA,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C1=CC=C(Cl)C=C1,1
Prednisolone,Prednisolone,HMDB0014998,5755,8378,C07369,NA,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,1
Bezafibrate,Bezafibrate,HMDB0015465,39042,47612,NA,NA,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O,1
Ofloxacin,Ofloxacin,HMDB0015296,4583,7731,C07321,NA,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,1
Hydrocortisone,Cortisol,HMDB0000063,5754,17650,C00735,5124,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,1
Guanosine 5'-monophosphate,Guanosine monophosphate,HMDB0001397,6804,17345,C00144,6216,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,1
Flufenacet,Flufenacet,HMDB0252330,NA,81920,C18731,NA,CC(C)N(C(=O)COC1=NN=C(S1)C(F)(F)F)C1=CC=C(F)C=C1,1
Thioinosinic acid,6-Thioinosine-5'-monophosphate,HMDB0060416,3034391,2332,C04646,NA,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2S,1
Xanthosine-5'-monophosphate,NA,NA,NA,NA,NA,NA,NA,0
Gentiobiose,NA,NA,NA,NA,NA,NA,NA,0
Bumetanide,Bumetanide,HMDB0015024,2471,3213,NA,NA,CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,1
GlcNAcThrNAc,NA,NA,NA,NA,NA,NA,NA,0
12'-Apozeaxanthin,NA,NA,NA,NA,NA,NA,NA,0
Bicuculline,Bicuculline,NA,11555,3092,C09364,NA,NA,1
Methoxyfenozide,Methoxyfenozide,HMDB0254547,NA,38449,C18525,NA,COC1=CC=CC(C(=O)NN(C(=O)C2=CC(C)=CC(C)=C2)C(C)(C)C)=C1C,1
Perindopril,Perindopril,HMDB0014928,107807,8024,C07706,NA,[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,1
Cholesterol,Cholesterol,HMDB0000067,5997,16113,C00187,163,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,1
Lignoceric acid,Tetracosanoic acid,HMDB0002003,11197,28866,C08320,6427,CCCCCCCCCCCCCCCCCCCCCCCC(O)=O,1
Amisulpride,Amisulpride,HMDB0015633,2159,64045,NA,NA,CCN1CCCC1CNC(=O)C1=CC(=C(N)C=C1OC)S(=O)(=O)CC,1
Thioridazine,Thioridazine,HMDB0014817,5452,9566,NA,NA,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,1
Coprostanol,5beta-Coprostanol,HMDB0000577,221122,89519,NA,5559,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,1
Finasteride,Finasteride,HMDB0001984,57363,5062,NA,NA,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C,1
Pyrazophos,PYRAZOPHOS,HMDB0256957,NA,81942,C18761,NA,CCOC(=O)C1=CN2N=C(OP(=S)(OCC)OCC)C=C2N=C1C,1
Casticin,Casticin,HMDB0030660,5315263,69355,NA,NA,COC1=C(O)C=C(C=C1)C1=C(OC)C(=O)C2=C(O)C(OC)=C(OC)C=C2O1,1
Methylprednisolone,Methylprednisolone,HMDB0015094,6741,6888,NA,NA,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,1
Picolinafen,NA,NA,NA,NA,NA,NA,NA,0
(-)-Riboflavin,Riboflavin,HMDB0000244,493570,17015,C00255,5249,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,1
Enalapril,Enalapril,HMDB0014722,40466924,4784,C06977,NA,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CCC[C@H]1C(O)=O,1
Neotame,Neotame,HMDB0034566,3804937,NA,NA,NA,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(O)=O)NCCC(C)(C)C,1
S-Lactoylglutathione,S-Lactoylglutathione,HMDB0001066,440018,15694,C03451,5979,C[C@@H](O)C(=O)SC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O,1
12'-Apoastaxanthinal,NA,NA,NA,NA,NA,NA,NA,0
Teflubenzuron,NA,NA,NA,NA,NA,NA,NA,0
Brassicasterol,Brassicasterol,HMDB0011181,5281327,3168,C08813,NA,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\[C@H](C)C(C)C,1
Metsulfuron-methyl,Metsulfuron-methyl,HMDB0254690,52999,39678,C10946,NA,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC1=NC(C)=NC(OC)=N1,1
Trans-Zeatin-9-glucoside,NA,NA,NA,NA,NA,NA,NA,0
12'-Apocapsorbinal,NA,NA,NA,NA,NA,NA,NA,0
Pantoprazole,Pantoprazole,HMDB0005017,4679,7915,C11806,1697,COC1=C(OC)C(CS(=O)C2=NC3=C(N2)C=C(OC(F)F)C=C3)=NC=C1,1
Prazosin,Prazosin,HMDB0014600,4893,8364,C07368,NA,COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1=CC=CO1,1
Dihydrozeatin-9-beta-D-glucoside,Dihydrozeatin-9-N-glucoside,HMDB0012213,11545443,NA,NA,NA,C[C@H](CO)CCNC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1
Ethion,Ethion,HMDB0252018,3286,38663,C18725,NA,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,1
S-Adenosyl-L-homocysteine,S-Adenosylhomocysteine,HMDB0000939,439155,16680,C00021,296,N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O,1
Buspirone,Buspirone,HMDB0014633,2477,3223,C06861,NA,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,1
1-O-beta-D-Glucopyranosyl sinapate,NA,NA,NA,NA,NA,NA,NA,0
Sufentanil,Sufentanil,HMDB0014846,41693,9316,C08022,NA,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,1
Pyraclostrobin,Pyraclostrobin,HMDB0256940,NA,78780,NA,NA,CON(C(=O)OC)C1=C(COC2=NN(C=C2)C2=CC=C(Cl)C=C2)C=CC=C1,1
Cetirizine,Cetirizine,HMDB0005032,2678,3561,C07778,1641,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,1
Di(ethylhexyl) phthalate,Bis(2-ethylhexyl) phthalate,HMDB0249243,NA,17747,C03690,NA,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,1
10'-Apozeaxanthinal,NA,NA,NA,NA,NA,NA,NA,0
Dexamethasone,Dexamethasone,HMDB0015364,5743,41879,C15643,NA,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,1
Diflufenican,Diflufenican,HMDB0251262,91735,81824,C18549,NA,FC1=CC(F)=C(NC(=O)C2=C(OC3=CC=CC(=C3)C(F)(F)F)N=CC=C2)C=C1,1
Rotenone,Rotenone,HMDB0034436,6758,28201,C07593,NA,[H][C@@]12COC3=C(C=C(OC)C(OC)=C3)[C@]1([H])C(=O)C1=CC=C3O[C@H](CC3=C1O2)C(C)=C,1
Stigmasterol,Stigmasterol,HMDB0000937,5280794,28824,C05442,168,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\[C@@H](CC)C(C)C,1
delta-Tocotrienol,delta-Tocotrienol,HMDB0030008,5282350,33276,C14156,NA,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@]1(C)CCC2=CC(O)=CC(C)=C2O1,1
Calciferol,Ergocalciferol,HMDB0000900,5280793,28934,C05441,5856,[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C)[C@H](C)\C=C\[C@H](C)C(C)C,1
beta-Sitosterol,beta-Sitosterol,HMDB0000852,222284,27693,C01753,169,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](CC)C(C)C,1
Sulfasalazine,Sulfasalazine,HMDB0014933,NA,9334,C07316,NA,OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,1
Propoxycarbazone,NA,NA,NA,NA,NA,NA,NA,0
S-Adenosyl-L-methionine,S-Adenosylmethionine,HMDB0001185,34756,15414,C00019,6064,C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,1
24-Ethylepicoprostanol,NA,NA,NA,NA,NA,NA,NA,0
Colchicine,Colchicine,HMDB0015466,2833,23359,C07592,NA,COC1=CC2=C(C(OC)=C1OC)C1=CC=C(OC)C(=O)C=C1C(CC2)NC(C)=O,1
Thiethylperazine,Thiethylperazine,HMDB0014516,5440,9544,C07132,NA,CCSC1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1,1
Mepacrine,Quinacrine,HMDB0015235,237,8711,C07339,NA,CCN(CC)CCCC(C)NC1=C2C=C(OC)C=CC2=NC2=C1C=CC(Cl)=C2,1
Pinoxaden,NA,NA,NA,NA,NA,NA,NA,0
CDP,CDP,HMDB0001546,6132,17239,C00112,6313,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,1
Lincomycin,Lincomycin,HMDB0015564,656509,6472,C06812,NA,[H][C@@]1(O[C@]([H])([C@H](NC(=O)C2C[C@@H](CCC)CN2C)[C@@H](C)O)[C@H](O)[C@H](O)[C@H]1O)SC,1
Crystal violet,Gentian Violet,HMDB0014550,3468,77181,NA,NA,CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C,1
Leu-Leu-Tyr,Leu-Leu-Tyr,HMDB0304804,88513,6415,C11331,NA,[H][C@](N)(CC(C)C)C(O)=N[C@@]([H])(CC(C)C)C(O)=N[C@@]([H])(CC1=CC=C(O)C=C1)C(O)=O,1
Trifloxystrobin,NA,NA,NA,NA,NA,NA,NA,0
FucGlcNAcGA,NA,NA,NA,NA,NA,NA,NA,0
Veratramine,Veratramine,HMDB0259781,229854,NA,NA,NA,CC(C1NCC(C)CC1O)C1=CC=C2C3CC=C4CC(O)CCC4(C)C3CC2=C1C,1
Nicosulfuron,NA,NA,NA,NA,NA,NA,NA,0
Piperacetazine,NA,NA,NA,NA,NA,NA,NA,0
gamma-Tocotrienol,gamma-Tocotrienol,HMDB0012958,5282349,33277,C14155,NA,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@]1(C)CCC2=CC(O)=C(C)C(C)=C2O1,1
But-3-enylglucosinolate,NA,NA,NA,NA,NA,NA,NA,0
Acetophenazine,Acetophenazine,HMDB0015196,17676,2401,C06807,NA,CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1,1
1-Decanoyl-2-hydroxy-sn-glycero-3-phosphocholine,NA,NA,NA,NA,NA,NA,NA,0
Cyclopamine,Cyclopamine,NA,442972,NA,NA,NA,NA,1
Solasodine,Solasodine,HMDB0035282,5250,565242,C10822,NA,CC1C2C(CC3C4CC=C5CC(O)CCC5(C)C4CCC23C)OC11CCC(C)CN1,1
Salmeterol,Salmeterol,HMDB0015073,5152,64064,C07241,NA,OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1,1
